Geohash,vec
9q5c0,0.007903691363183453 -0.1118686867042332 0.26938019893346726 0.08212891910561944 0.05852733881443795 0.008417732528947286 -0.024228639080712648 0.39140903093280405 -0.3279613722855585 0.050347743789847105 0.4296817354621895 -0.03038442093160897 -0.00390921887386769 -0.03948577726170336 0.3423677888588789 -0.411698105667405 0.06858456111311767 0.014995520848630008 -0.23301647637910097 0.20908707257679815 0.38949628539484676 0.02878665599870525 0.31369048584403214 0.20383469181057587 0.2259398981786484 -0.003173986643614635 -0.028995896608347966 -0.19076620150492052 0.08271761436670316 -0.09693280825725083 -0.2115179384445221 0.2207580257450634 0.025436705309888914 0.13508426475577842 -0.16272119833423943 0.20320102057485812 0.21219224209311022 0.09886214320722045 0.009477036809821891 0.34852300990401786 -0.3143418219469721 -0.39468641196252663 0.02945596530684996 -0.13918447467536407 0.17920213345892747 -0.011883723605463069 0.19997152926010126 -0.5264838849197949 0.1408962356845496 -0.10309286197352642 0.029371471357646325 -0.14667344627331816 -0.17519678841940037 0.745885760068848 -0.14206944184401266 -1.6577800877557312 -0.115723927115653 -0.052585855084447 1.0769558477705716 0.2501079475157802 -0.3071933538719068 0.35083420844770025 -0.049123926091950494 0.06309610710110908 0.0801275323393521 0.056698481931596365 0.08087976274793487 -0.024396655223155927 0.30515140156070136 0.01073101975207285 -0.16940783911840473 -0.09971935029767565 0.03259851725656179 -0.2494379951668042 0.27964814348580114 0.02960998998776622 0.12958799531887127 0.0875914346314742 -0.3005247222878363 -0.10815243226094201 0.4584929297635395 -0.04208549476286148 -0.3073537268024577 0.19919484154504222 -0.8160220240412216 0.05089219439691302 -0.10887901611334007 -0.1928236570925345 0.09403938290108575 -0.09828484343736875 -0.20090706419200344 0.11512094878708305 -0.3933661378301826 0.17169056484509787 -0.5055367540266483 0.046712941802364315 0.015540772006916332 -0.08076764696105464 0.600702529524949 0.032990935714606345
9q59w,-0.055067987913103016 -0.16002014888057878 0.4045116871829538 0.09062118886621749 0.06641719226903761 -0.002669260219221082 -0.021291954169071987 0.4352800483981264 -0.4106384079881113 -0.05434611744021398 0.460036265993571 0.050424336251850194 0.04182200426894647 -0.059633799652390566 0.33475174089871723 -0.42094757780201797 0.07950148198106245 -0.0523663498639985 -0.17042780495114832 0.1790167882166559 0.5012869099303414 0.18524621969586524 0.35736365530384806 0.1214629787723578 0.3230609532823189 0.06675058457597326 -0.0987672833294473 -0.20516476831720237 0.1317845448728089 -0.16187368565939672 -0.2694289165510399 0.20536626888423837 -0.005221754928867745 0.13817745170692639 -0.14093127777996006 0.12513123517241298 0.21328313835584845 0.0678364127669247 0.06311266243735364 0.3684312498076185 -0.325646129085647 -0.4463516380868473 -0.04294887242573935 -0.11287189125902578 0.26154660720822387 -0.017549343245012106 0.1532956024319128 -0.5692235011954966 0.11329202372250162 -0.13327215398191922 0.007012156089707851 0.003768544356841441 -0.17213231355336145 0.762236330502782 -0.17497634480984145 -1.8074140133379064 -0.09347756639473667 -0.16328498109307857 1.2711445279711582 0.4100547528265321 -0.4365550589078404 0.4079520120589552 -0.07440911968404537 -0.001002262808687876 0.09967685507041053 0.12909473983077496 -0.045501905379535315 -0.08168805846675052 0.36154536486931044 0.01433059081907639 -0.2630982429888701 -0.12515052502939078 0.10125727595383739 -0.16777158691265934 0.31836854203483317 0.0018301836037406597 0.12965007215157853 0.09359340355111381 -0.33118720403070706 -0.142369918601892 0.4061269404873609 -0.00018097781471747323 -0.29350822932415466 0.23147325195929208 -0.7326563733032245 -0.08018003320321827 -0.04431529578267637 -0.24226739274399203 0.1367218913203515 -0.11139201272313842 -0.09600399517330659 0.17419468957841575 -0.40780887843278785 0.09520921319256667 -0.5499012091788736 0.11037013553362593 -0.05758573729704985 -0.05221701928767778 0.7042583592743029 -0.0395875028184801
9q5b6,-0.07548670972827756 -0.12698318511830314 0.4837946827039179 -0.016964778858506332 0.04975390472632377 0.0313831985770984 0.014889781773170073 0.4526436857056776 -0.49497351889156743 0.01824794680969348 0.4711493082321511 0.08413501741894523 -0.003190963894026333 -0.03141567252319815 0.3509298448518428 -0.3382244387175069 0.04365116338186818 -0.004801027466978303 -0.16570117781278484 0.17840551829502782 0.5236826867074575 0.24258260736328924 0.3806314473381938 0.10719744621707696 0.31613366158766115 0.026275414139144027 -0.10696405678620576 -0.22948321852368916 0.09018218612521792 -0.10038206222820566 -0.3019781313389969 0.2647509849542184 -0.03518625919612839 0.10669277312857472 -0.05950608772283711 0.07664050013247575 0.14757058167890943 0.07686428231228593 0.07276668787737119 0.42137066586307603 -0.38949426142210153 -0.46571336984177186 0.016704721933022016 -0.06730217539120771 0.24823364644950766 0.08197340323945308 0.2945940864418204 -0.59570097186462 0.11053251397543798 -0.16732566077396796 0.03939812474770888 -0.13444660674280196 -0.11939061083816747 0.7123313196232824 -0.12145224009741326 -1.7537660728857452 -0.13326415116721646 -0.13617731456956125 1.3374035879524508 0.4283251093283837 -0.4121674135784111 0.4443268837809084 -0.026411784089040803 0.10246766225740946 0.024238932366335047 0.12433880806243618 -0.06466452040063199 -0.05139106885290115 0.3358720428890959 0.008052318219011914 -0.2957616741091737 -0.1296328085913286 0.06998194260885902 -0.211136026148188 0.3193070297507843 0.12287559298562821 0.1418380165808227 0.03697674804046832 -0.36058866655532873 -0.12993342031843552 0.4432964907468769 0.004112543999546205 -0.3692344576985482 0.263403236662176 -0.6981908693832063 -0.06946243272230868 0.033108700244681606 -0.19445511064264803 0.09331014544426317 -0.07697153924551715 -0.12322198311432317 0.25287384720347433 -0.3520087087047728 0.06507725169347295 -0.5594637437385195 0.15532169160777373 -0.009599028216060103 -0.055839717898504226 0.6867438373064109 -0.01628254405303127
9q5d7,0.009116432097505286 -0.19012552448921777 0.4336583677390696 0.013932567316968916 0.11020845293238195 0.11637623701297477 0.026719043649916303 0.4948794258929513 -0.398354902942287 0.14941047987840395 0.3951101252105362 0.003054860754691278 0.048231972699340236 -0.16828820290896068 0.3930697676698199 -0.36577884239748515 0.047298871074575005 0.11174465975959949 -0.13043666732863218 0.22387024929532287 0.4582788200097054 0.14868177984729605 0.340386645416888 0.23537559129907829 0.32466212915533077 -0.008607978822082512 -0.08607067276101864 -0.20111397052394608 0.08308349006743004 -0.06761080769305801 -0.2192619770121641 0.24439996657253837 -0.013803766997719326 0.1479090983691927 -0.18304340027880386 0.20961961522805153 0.17409462871262843 0.09375114226597488 0.13296349191514564 0.4006712265932597 -0.27068516312015145 -0.4006646066571967 0.013571381104653644 -0.11141945885599722 0.09593654570941264 -0.038230245267389294 0.2096880454120894 -0.6591546749245822 0.10571199337109892 -0.1982752388427743 0.061858163024974266 -0.23858969720994888 -0.06502151854628539 0.7974571812325013 -0.12494767445604937 -1.777230095871154 -0.06872149987196019 -0.10198006828714225 1.371266756921576 0.477137256047814 -0.29810673608265853 0.40287922948803995 -0.043327044716920726 0.22350544709213627 0.08342766819996818 0.07151572335715632 0.06549936932318955 -0.1441628482434607 0.21238914080328816 -0.042588252475753 -0.2992711382683809 -0.10370265399773261 -0.002463811147721015 -0.18284718622754537 0.29754540919804173 0.0916206025628632 0.139980120424221 -0.026777239973119312 -0.39939986951757817 -0.1393978411189068 0.4728279313179624 0.12364352549659285 -0.42651292867406393 0.12500188990856526 -0.8508553849692493 -0.11821433449080196 0.04821609196510963 -0.11882348919984634 0.007673938855020736 -0.02729076644501874 -0.1034242466159868 0.17077541173539132 -0.448654757787415 0.11506435124071455 -0.5468415380708183 0.12624667864955025 0.10405449461540459 0.0573387074580533 0.7011942035657382 -0.11207690753921945
9q59r,0.03279002571800424 -0.10686316110041705 0.368059522826944 0.08780483815195986 0.07102630482012365 0.07091148885601539 0.0066290557342713816 0.47820656724587174 -0.36694824554879385 -0.028707849877330088 0.45642053374930047 -0.008795865008763276 -0.010243471404005777 -0.03192076963924669 0.3634769305748345 -0.373933301962717 0.17503114507208792 0.05287487358023951 -0.2406032731030547 0.1368563857587666 0.47752254448777903 0.03372972371489635 0.34567487172978806 0.17020736087941493 0.32210969157348257 0.005581453158838996 -0.11067028746551996 -0.2173739545375824 0.09897046339940599 -0.12595881647597548 -0.19642313864475425 0.30818699301469277 0.08189719153429227 0.17219320235628433 -0.14094017322360688 0.1774330919639684 0.20086540918588944 0.07397590555573698 0.10920342080709296 0.3999637475367315 -0.26220615354162413 -0.46306473550730193 0.017857437072921582 -0.08899830986043109 0.14304684819830688 -0.025106224081731573 0.21206873727984896 -0.48751896734560957 0.11692284967374696 -0.10687898419329439 0.11819510850214919 -0.10267499960106055 -0.09129362213679454 0.7104220510335281 -0.12649449644503852 -1.7824846969210069 -0.12356189323152789 -0.11189108632660853 1.1849809457365927 0.33544821084451676 -0.3534517459019253 0.49456229893943215 0.06512789447013853 0.12680929116183717 0.05428703024906751 0.05741207222743641 0.12795529367089428 0.0004796470640106541 0.26292499201851666 -0.04374212483343501 -0.2598172864104742 -0.1435069402542844 0.0893307636193836 -0.23613359477075707 0.3199233894534988 -0.015392879920147503 0.2442221063533703 0.08527213298868279 -0.2529205550786276 -0.20316992109517576 0.35246756609862545 0.12455254822025184 -0.2502958520831724 0.17963801903936488 -0.7916634551803743 -0.01646516051367903 -0.09703782553760659 -0.19026023844371062 0.09583062245053335 -0.16559320884914994 -0.2047639700866802 0.1426733168314075 -0.3973059145749571 0.1647383090701549 -0.5047425455942132 0.023960791400400944 0.035514027611946636 0.012481271949667857 0.6659608491183323 -0.015512307706554864
9mgzg,0.0015865522156676803 -0.11384592583950333 0.37079663216861214 0.12306802599178988 0.03630916011640979 0.060956231764250024 0.009493594036822938 0.45048037394125817 -0.43676650315147036 0.1345905677794638 0.3481524578941818 0.033970574977380416 -0.010911515592226426 0.01880891720017209 0.3006710595934176 -0.3463945697270692 0.04953423550258026 -0.017918277777261044 -0.2538007595318416 0.21298604015574227 0.5436532911804084 0.18264729898170406 0.2856317089867832 0.17731131783301182 0.33457609046817177 -0.03321632585964672 -0.02503609344517131 -0.2231042912112127 0.14231909205531362 -0.038348057673012845 -0.2950244483555574 0.23485446329212428 0.004683535634234323 0.146361760058598 -0.14846119181871298 0.18690554600261627 0.14990539611393874 0.02098119804585477 -0.008106480538896852 0.3715353167348426 -0.3299189721234091 -0.47114022329442296 -0.015628059262682657 -0.11264781138604725 0.2589084349858984 -0.046426142293784514 0.2843207970399296 -0.5633848149527947 0.10065043286159013 -0.09553126054641684 0.015488988802745527 0.013604349509001808 -0.16034855908495332 0.7904969358690398 -0.21729078840918112 -1.8499582978747813 -0.11803598367609633 -0.1127244437558354 1.2468819546544887 0.38187940629247574 -0.35822630420154916 0.3728110397054993 -0.1514454910713018 0.07047663058253366 0.16419368204477844 0.10781554864557484 -0.03291328492521881 -0.10617545116822973 0.33084446047354465 -0.04673627609816404 -0.21395314680880353 -0.10790278783973038 0.08994698621199802 -0.16812303197545916 0.3846152525759807 0.11820474480634796 0.13427037904219302 0.03249599494123677 -0.3805303662668357 -0.14440904260228282 0.49567419775723687 0.02183031147970367 -0.40440592182205287 0.11880592428177224 -0.9299602158663021 -0.08881512115159676 -0.11912632565499058 -0.22185097262319498 0.12895631407809882 -0.013460849732595767 -0.12384510103216036 0.15591962949293298 -0.3876237508378573 0.2003093203126988 -0.6004414291523409 0.06316949395875798 -0.10920109780081397 -0.08077957159590692 0.6682281524363337 -0.055296249031699704
9q5dw,-0.002675804822918276 -0.06817787931211115 0.2389991408069133 0.06505595489185217 0.0005383121876648248 0.03395027219096826 -0.02936134356927274 0.34471319492342883 -0.4109936520480384 0.026292140013926442 0.3603727924058796 0.005756922015557542 -0.01368154097045939 0.013333204571392138 0.3242576756012372 -0.34432655187271866 0.015956268883252907 0.0322565993879589 -0.278113961157218 0.19437936473731474 0.4040138581502827 0.06852089790582569 0.33312238211626755 0.1562682224259679 0.34432808382240077 -0.031022566184113583 -0.08563135742730911 -0.20317118133821596 0.08744893352109506 -0.02137974493366309 -0.2710019485929872 0.300458602845492 0.08070138342014052 0.19865949750185607 -0.1894628022856676 0.15017391471940614 0.12635575994238527 0.07538971000501384 0.006301674528683129 0.32408395776487997 -0.25986447312569216 -0.4097460265297599 -0.025252851345009958 -0.09087475308231496 0.14058038019282126 -0.00923787319206157 0.2105910178142407 -0.45713735727072446 0.16514408101833783 -0.06632214405787347 0.0963801728886792 -0.12757252393578405 -0.13990371101923998 0.701075479504914 -0.19971812365967673 -1.6282874072198636 -0.10848623523401159 -0.08074278466067064 1.0175799470068279 0.2694952368874959 -0.3747397234327901 0.2972852805628906 -0.09135206545503627 0.14042581485735214 0.04079733820526175 0.07691967299609496 0.11964272270854465 -0.014750067721390762 0.3312996075096679 -0.05242534151264769 -0.26705561817262474 -0.13474573777718996 0.08598544012814646 -0.20791747185837958 0.3821324580838883 0.03056262103734542 0.16363471213777891 0.028108306907716117 -0.253330588421023 -0.13890320507434192 0.38785347607469944 0.07156978839133091 -0.27625702199709373 0.19061437437831477 -0.8585833353579173 -0.07281423504964397 -0.06231025716117358 -0.23359478935485914 0.12337697543657089 -0.009457487930115189 -0.24530795030049657 0.13084249764274955 -0.35681531451011195 0.17729654686614188 -0.5275720643122126 -0.01001229510789844 0.041596434274408296 -0.03928600464535202 0.556336506225509 -0.05038203145365499
9q59u,-0.1556550462674127 -0.18647459976893116 0.3292664030987985 0.16238143744347067 0.024072893780451587 -0.16299446230697498 -0.028079995947382322 0.6624808893955899 0.01669125959348387 -0.12659408508202943 0.19660231927361857 0.32963260222073676 0.03230563833019738 -0.07070800587624611 0.24079765070641054 -0.0395189870442992 0.4656591642569486 -0.12046175105879052 -0.3336033262106357 0.08552240580758565 0.41314672040668116 0.05418189198719218 0.33032077844045027 0.31258081674589033 0.17261987257088862 0.08045209260249554 -0.20109240448686208 -0.13007752757064106 0.09533987640918994 -0.0734634358808675 -0.27350902440417246 0.14096489647289895 0.13565798269211723 0.22604756560622563 0.039864931077276025 0.08341458678055061 -0.18310168636611215 0.1622410852726613 0.2727722338573645 0.08312173061447813 -0.11252213301231266 -0.22789048907374398 -0.17004532593335314 -0.2447844744871922 0.21115897768947647 0.12420399973179509 -0.030616436003003893 -0.024954479578959528 -0.05573175104760845 -0.12687874619231523 -0.10357390658381198 -0.06255326293828814 -0.09861482433320129 0.46293679475803795 -0.24317160556793427 -1.651993128426421 -0.16155118061678883 -0.09528089658414207 0.926730462329174 0.2701847808311877 -0.2811510590801809 0.473948879006569 0.18805707006998085 0.16864936425249227 0.09392665682065757 -0.09231410096289695 0.25316393772446694 -0.1282546154774873 0.05539808278619528 -0.03161354614445104 -0.2029749508681587 -0.004701817497524265 0.03839129034544795 -0.3281796321887172 0.14119966558765762 -0.1374522417101571 0.45369302898676295 0.195701076419423 -0.34857671285650627 -0.12871011316184722 0.292592286842279 0.1066184202432825 -0.19167738525318548 0.01899341367762593 -0.2873141829273124 -0.137282794134152 -0.1894588036030237 -0.1928083667409388 0.036199335063874044 0.07811523237010629 -0.3019206429784776 -0.08952220721347462 -0.2833790478708655 0.40032366977289224 -0.3809408695583284 0.16083827931686143 -0.15793903626180106 -0.05422083158876345 0.568923724905922 -0.11687640237959664
9mgzf,0.01175650257885765 -0.17219126078510305 0.25695272447680845 0.007879553119336302 -0.05494558549303779 0.11606789742666795 -0.04551140958605663 0.6031316971226043 -0.4845668095892141 0.11033965064933217 0.30869506862824037 0.13202281482191913 0.026090386331344126 -0.0034297167550756203 0.29552133034005873 -0.4102710377829875 0.047223640504720416 -0.028596833248871197 -0.19522184874175114 0.06307330842647847 0.4073470932015092 0.09257821967888606 0.14894653890704432 0.10192155956316504 0.28409017269820974 0.06575574060418048 -0.07793823392220012 -0.3082313413461842 -0.2065812414890594 -0.0936103416706135 -0.2776941890325535 0.13600880051545577 -0.006990403662656684 0.14889070047440878 -0.0407244693718228 0.21695587074847653 0.25837454645811625 0.04977087044931483 0.03760966159104545 0.19604176337264378 -0.3094255782073506 -0.2599629827258375 -0.08937202883323862 -0.36199888929856966 0.16223032799327464 -0.0347900539981371 0.19820416603122729 -0.3878534163288181 -0.02121630721558366 0.059716905445833746 -0.10468950506378072 -0.04283481686953364 -0.08707553103864735 0.38194421246171584 -0.01601279161283192 -1.438328861876796 -0.10644909182360045 -0.27234300653200083 1.026591487078084 0.2628683805389789 -0.181055192436535 0.4326991217351836 -0.09699180584209528 -0.019388776285403045 0.08134692044141328 0.03875643433851158 0.10766622427125765 -0.2039738038300022 0.306837554723801 0.0326976826662404 -0.18080164046951472 0.07038726378153515 0.08580484580720532 -0.1699648318122257 0.08562238148495468 0.17428881404494648 0.04875235447333523 0.23145029468062261 -0.5019164515834675 -0.07706260876353763 0.44733312752991705 0.07878127830507403 -0.29048664485333586 0.15943742146253673 -0.4317765355037575 -0.020346115415364217 -0.06503422228837105 -0.14062915803369014 -0.02416769168419057 -0.010167921540999653 -0.302319221720975 0.07683401316504058 -0.21065572377790406 0.18474901310268066 -0.42439374935982455 0.19021091399545326 -0.08767910172886867 -0.03734820958447791 0.3953492287818509 -0.22330051709529222
9q5eq,0.023025331635359827 -0.18890518982518403 0.3633067140206916 -0.008929262821602283 0.06273541133192569 0.059394561826942506 -0.06848950281839138 0.4615114564741519 -0.4595099418409173 0.06441088900080673 0.3295826127680959 0.03178692307324839 0.044388409473245606 -0.06312157491802028 0.28628564079137836 -0.29748909874571844 0.13503225372896369 0.04958454184146877 -0.16007263614031855 0.21865895293578874 0.413761115703255 0.1196040775631154 0.27990938670103815 0.15686872904103766 0.36755465253296465 0.008911138352492238 -0.026700902537275157 -0.17311272496873914 0.07903289456021498 -0.13768583791116923 -0.20058496401392753 0.3124466104559764 0.07425939740669417 0.07587739024199609 -0.23818322913644835 0.10814509189594693 0.0722855724198365 0.18878510587590275 0.022446375879614833 0.4717979319525204 -0.31288815963553507 -0.5429759368777014 0.02101464363342096 -0.03394808407470106 0.16905688955973905 -0.04111912286086005 0.2766783024479194 -0.6593559464875421 0.061231011684914335 -0.29061896093805467 0.08115538072798373 -0.2563614051114777 -0.03822088154197322 0.9046376651779956 -0.14575575494392096 -1.8913602198660924 -0.16432275623381995 -0.08982049015575676 1.4376170946597713 0.3614399797526136 -0.33440638956494995 0.4501402716424278 -0.038263129377204295 0.1906675584634307 0.16115516782559616 0.13421420439865228 0.047822739367390926 -0.07838368268626933 0.22492804144560208 -0.06223871366824617 -0.24476615668337445 -0.2098697840485784 0.15539274193704833 -0.10204741858152475 0.3231652127619469 0.12457374027417283 0.03618477712255175 0.0013469520398032015 -0.4672537505069371 -0.14281638566187504 0.5535758009340237 0.09191485453109001 -0.41153640874822817 0.11408542073656727 -0.9176581908581056 -0.03244340922731284 0.12716092012361557 -0.2237844353976935 0.08998490330009186 -0.09975034612234926 -0.10865940377930806 0.13408840845175207 -0.481449647632499 0.10752736463375297 -0.7056832970761547 0.05367376423521018 0.04244605191041365 0.004403685723710294 0.6838442090354978 -0.14854517517594112
9q5dg,-0.11523546537864231 -0.12341984660397419 0.24407489919577635 0.07031830709598065 0.060023341233852764 -0.08325314687681518 -0.05487155712684815 0.5192285092271813 -0.1432364640957439 -0.05344271901465293 0.34405191576756916 0.1459155646900497 0.10093357054164251 -0.009511299823374527 0.34642197445858497 -0.17814950861024448 0.21657528727828876 -0.10072611822769288 -0.3103454846973416 0.1073194014849292 0.410617286669861 0.011050707867936035 0.28411837495660897 0.21051884209412142 0.23237761053347006 0.014125959207466643 -0.06309449015318609 -0.1281744634642536 0.15050549849283176 -0.0018737251236539314 -0.15177824966727604 0.2769876844022999 0.08865146316881652 0.15450009657269237 -0.12329493345805816 0.13003522259644032 0.01965259870449119 0.11932235081504768 0.16029887100209025 0.2590437677016587 -0.2443619782238144 -0.3549397274518182 0.0028566299557069757 -0.1069279325463347 0.1431159150187699 0.013367171932728468 0.03491411542631021 -0.24300440257003503 -0.030986820004648554 -0.20611863393505545 0.07665528313475493 -0.0762126615120277 -0.0694584826511201 0.687801540426123 -0.1443206064671899 -1.7950765834628726 -0.20435608317031612 -0.11839427551160678 1.1823108864493237 0.23570752182487717 -0.27435693425901503 0.36468584411152527 0.056517099162991635 0.16267389783482872 0.13626343327990093 0.01672811250562191 0.10963997511675178 0.006170117068348007 0.11296059623835737 -0.0224999733834876 -0.23442153580091366 -0.12245460832858258 0.05709583134640146 -0.3028451765760777 0.16849250831250412 -0.09678726722330606 0.230748449472767 0.19743195030370989 -0.39188886777042775 -0.2655033170283667 0.437331155181713 0.17328134012522134 -0.20933282985396287 0.06218918689349814 -0.6154180465814185 -0.10630147843763868 -0.008501737611928914 -0.1500794547162361 -0.03555396025832916 0.031045670885682514 -0.09376491157872135 0.09795545876646426 -0.31386233427132354 0.33926542176672975 -0.43559647235493504 0.0903882508017954 0.015481903962808066 0.07885146699546083 0.5715970056202767 -0.07239935524729983
9q5fx,-0.125464546898301 -0.06565040502618155 0.13241208348300254 0.17844852635620417 -0.01892859364892353 -0.08435318691495097 -0.005727924243208468 0.50907044688699 -0.1321551851680445 -0.06259085838555163 0.1249701372292683 0.24848435992141918 0.061448732704795186 0.06461427338229404 0.16495815208185532 -0.20786892107943988 0.38158916549831806 -0.036938263261919235 -0.4467800090465695 0.1960575153864674 0.3264144713675214 0.025241887738046982 0.34789606958802055 0.23988359401655107 0.09544282965295572 0.04562750448108654 -0.21589702390966525 -0.17228320091961186 0.01137599636510833 0.14472930902448997 -0.2344092345349096 0.210324944982614 0.23362156176999319 0.3159144176079355 -0.19772299287951178 0.1086210261033049 0.007603554441042055 0.089693011148634 0.17624953731847862 0.03124426608898349 -0.17952935666740863 -0.18257499036145014 -0.14602725195053734 -0.3240136639250846 0.09910140245901443 0.1491885361225731 0.1448030661485254 -0.08299896410322767 -0.05518632788852691 -0.055996321066916106 0.06712214711134275 -0.02220567612612629 0.05720494360615231 0.456936883389883 -0.3255792228692201 -1.6924892758072851 -0.26017088110102454 -0.15849726086621704 0.8972309871697144 0.08623586358575 -0.3088170606820715 0.41125728598792516 -0.00827299829126189 0.038740377305725666 0.07626725438928218 -0.04910428811816201 0.1883026058209424 0.05040445395431864 0.16136422120833277 0.08444218085646239 -0.2661970905188772 -0.08192903583807498 0.027414525863508482 -0.3920964042382736 0.2021624684981081 -0.06817731340771548 0.43954450229721964 0.17053742346892237 -0.4423614995739768 -0.11107814959563386 0.17330151440805566 0.09126503049106688 -0.13985945660420496 0.13496005056640217 -0.5523895034687957 -0.17880579704914645 -0.12541329086957728 -0.06049918898010204 -0.0077864190370016215 -0.03026576413167748 -0.09002028592040812 -0.10081844538722147 -0.14932028284384694 0.6527862869623131 -0.4048186987888318 0.18502682825248423 -0.044876902188837726 -0.06820613577714553 0.49318636054959536 -0.13077102530786847
9q59e,-0.11047179203907054 -0.1787014317659153 0.5690996099121303 0.06241316948740648 0.04882368836028879 -0.013622076223716454 -0.06234548166155505 0.48305857231422034 -0.5280390283542419 0.08745484211164326 0.4763925276033606 0.038074323595658134 0.08611485504617092 -0.03945820849135707 0.3256069560571194 -0.3484658677915913 0.06200088345830114 -0.061082970956484336 -0.1447169408856854 0.1638655920374849 0.4474730827510324 0.284136095508256 0.3976992221372977 0.1488370162763642 0.26884262842615897 0.07912434644059599 -0.08685659577098384 -0.21596655923922858 0.04050091773166063 -0.17227060585125872 -0.20997966182565792 0.12975738308447268 0.007427346644683097 0.08026987262953643 -0.10912673840906648 0.052571983349807574 0.20080948329022613 0.09568908317379253 0.12912397880041712 0.41845870928066936 -0.3517453271339923 -0.348549720110829 -0.08967986775891165 -0.11394901822647918 0.2376719223315488 0.021310656248736872 0.2402683428326024 -0.558154487486939 0.13522302628134625 -0.1465199248566768 -0.06161055326958629 -0.13606336512566647 -0.08046376297646307 0.7211386210049019 -0.05323465681557983 -1.7888612218470488 -0.1167947128652762 -0.1893481215997752 1.3810969862177502 0.41359349905825377 -0.3713387642103487 0.46054222879789075 -0.02474959981975082 0.05853319704224713 0.08804493564089907 0.14119458238133717 0.010773676663146058 -0.0656978710022145 0.35586982571700576 0.08291003180510412 -0.294480589986509 -0.1497656264251161 0.03733110337012493 -0.18167818786176138 0.25977500896120886 0.03356761625678857 0.13725193461370183 0.11136971379170965 -0.34343708173127385 -0.10646402640826562 0.452507737101178 0.08521775697606523 -0.38425425212891284 0.21652697335981563 -0.6011405538093126 -0.095473008147994 0.055791386797353404 -0.2500625376729661 0.09397867003622723 -0.020512062442891058 -0.11036788592515381 0.17387388515495988 -0.39218732719757815 0.01634557719718565 -0.6170135287186642 0.16491783891807482 -0.04781447105886656 -0.00280463325055899 0.7215826032671673 -0.01825514749661378
9qh40,-0.025223353870236283 -0.13299317986862244 0.16991265231377972 0.07873370602611124 0.0799313867429196 0.048179335392400505 0.015163839364735202 0.4438921433222009 -0.3323182763059594 -0.12374627541476581 0.35115223621888636 0.06927585534718844 -0.0038484573690572917 -0.04287983845372749 0.25824220111712165 -0.32151893474114807 0.16015864960954967 -0.05794574899177382 -0.290719067586129 0.2367771139532089 0.3518378358889663 0.026685394499855904 0.3268624391524837 0.3089481595080501 0.1828614937620879 0.030129998404160502 -0.0728640553154552 -0.23421717655125707 0.08865761088462358 -0.018035517756333105 -0.2750187213641654 0.235940219016469 0.09863066307405449 0.2328236279570477 -0.19406756351631663 0.09316056513908615 0.10164725749263452 0.1664519035634046 0.0824395624260487 0.18607666392245614 -0.2293806366634729 -0.27959549452188026 -0.03256376453014222 -0.2744567214728053 0.19410685438947206 0.012927963235792653 0.10112966073445466 -0.35914918612161734 0.038991994430652245 -0.006944631688823429 0.08078226193767034 -0.060783280759453134 -0.14252321418038527 0.5541796125849129 -0.1885510376495567 -1.6827062550232654 -0.21541789567859515 -0.060270529117768944 0.9868674222059217 0.2097372825355126 -0.3704579169590307 0.41208940830495633 -0.01767599221298702 -0.03313980317365159 0.023033214019650576 -0.030791920962386983 0.11044569795706331 -0.020717042278815035 0.22805626281880306 0.11261044837187528 -0.1848008266678683 -0.04454528767024264 0.007030866409374677 -0.2846082548687259 0.2182665855650099 -0.09307556663074536 0.20725405553076762 0.1364291197604915 -0.3247128822401392 -0.11326834013057284 0.3342368972738755 0.03475909646934911 -0.32366646137198213 0.1598485651680385 -0.6370362279015228 -0.039384085013916326 -0.15242049082776027 -0.14400803471839727 0.04605677693420258 -0.12997816984568575 -0.14954406253126604 0.030790146410960135 -0.2982693194161536 0.31857329334150886 -0.447902453734611 0.19058499749712252 -0.04977632302116104 -0.09497260633535733 0.530582828129783 -0.11121514859901534
